TimePoint,GCaMP,jRGECO
288,113974.180069468,65724.3006751856
289,114027.920157281,65334.5631253425
290,115540.185525071,66212.4975231904
291,114223.906875894,65405.5985907194
292,115965.070960282,65644.2784326745
293,116708.682299237,66280.5159389934
294,115700.170882756,65219.6572781304
295,116130.268794869,65944.6115999138
296,116434.843037155,65043.6616313259
297,117011.51388401,65346.2736369747
298,116453.804835178,65626.6354962012
299,117601.154973275,65854.3379848125
300,117099.095000593,65534.5661576181
301,117617.340933496,65937.8745941416
302,117457.996803468,65627.0162260502
303,117253.7410707,65610.9187607157
304,117309.402858301,65219.7887457081
305,117350.582041824,65078.2809928535
306,117142.775707781,65694.0177413651
307,118105.636483308,66074.8601960363
308,117209.762979243,65885.4967582299
309,117653.074785517,65930.5168646527
310,116554.488659584,65430.413553441
311,117354.445526981,66515.0458296741
312,117136.36576275,65888.7467281321
313,116688.295187327,65274.2772338888
314,116043.619559276,65458.4480339147
315,116270.697590888,65586.8708800153
316,115554.636450729,65289.1661957414
317,115936.678073625,65379.5480150335
318,115826.429964787,65139.9042859311
319,115514.74479621,65540.2871071592
320,116383.611507093,65856.5458628216
321,114715.763911487,65062.0276496442
322,115782.05943229,65661.6603513682
323,115581.716283777,64989.5634443843
324,114574.242224372,65516.4715563153
325,114120.973411489,65595.5188385426
326,114539.455759268,65265.4149576072
327,114462.140650002,65054.7951434586
328,115222.928279578,65342.5420393174
329,114531.244636239,65508.3373129466
330,114114.68289017,64716.0662927673
331,114303.254345707,64588.9192761409
332,113029.468245773,64484.283837999
333,113649.62660828,64003.3521102045
334,112501.37262154,64548.6642008661
335,112340.771087383,64549.4954158221
336,113273.662829515,64431.2833582822
337,112363.926253518,64981.8796867793
338,112243.096321217,64762.8153465312
339,112157.256335842,65090.068656393
340,112471.322047073,64005.4665835543
341,111941.059005282,64770.0564769491
342,113007.133782548,65018.5538451995
343,111745.288030728,64580.2260290601
344,111308.309865674,63842.5373208589
345,111409.702550182,64122.5370980062
346,111739.705031175,64593.7673271978
347,111624.488441622,64223.6381475231
348,111537.91644721,64102.2756765877
349,110832.295281772,64150.6489699285
350,111480.774206563,64523.345839057
351,111840.276864335,64234.0471745784
352,111403.596064698,64084.911302073
353,110679.71310924,64384.0876789401
354,110535.687631251,63842.0937663009
355,111602.498054725,64590.4619654593
356,111212.184119985,63747.8120012749
357,110559.404741363,64409.452687191
358,111534.964181743,64627.5442145141
359,110591.671984032,64111.6549566621
360,110955.97297085,64239.689806395
361,111252.259820467,64066.564318835
362,110007.81317059,63991.3436370122
363,110294.261122147,63751.7065036313
364,110771.030936172,63924.5722272032
365,111300.516168558,63835.9156854811
366,111422.229440556,64668.2529479429
367,111515.686755335,64584.4128382667
368,110004.454267565,64274.5050660874
369,110464.325073639,64286.9758402992
370,111243.833125527,63912.5954735314
371,111912.191937835,63980.2146956611
372,111590.033768067,64383.715860734
373,111328.345085351,64709.371641296
374,111195.783332369,64443.0484286142
375,110650.633903814,63962.195349812
376,112014.572510162,64771.1207943058
377,111284.503571123,63977.4757782947
378,111090.931488564,64130.0880858237
379,111538.328625474,64365.2549416198
380,111332.908023097,64833.0282472798
381,112177.408436945,64637.2213444308
382,111496.550398829,64204.1649774002
