Wavelength_nm,GCaMP,jRGECO
524.769,0.00803340279550865,2.0421695184316e-16
525.118,0.00794399832457254,2.05955357913562e-16
525.466,0.00785436677094669,2.07495078715388e-16
525.815,0.0077614434953889,2.09017406909151e-16
526.164,0.00766427044687627,2.10077324165469e-16
526.512,0.00756706657136263,2.10697754684626e-16
526.861,0.00746232346593318,2.1113451760128e-16
527.209,0.00736110281958066,2.12273674077135e-16
527.557,0.00725916170294352,2.13845715336382e-16
527.906,0.00715309739576507,2.15375988012961e-16
528.254,0.00704297396705412,2.16652148260644e-16
528.602,0.00693716429889841,2.18050437040529e-16
528.951,0.00682813724319782,2.19421336995002e-16
529.299,0.0067194868450184,2.20422751106215e-16
529.647,0.00661449960596118,2.21517182900262e-16
529.995,0.00650680472693496,2.22565512273987e-16
530.343,0.00639618761632609,2.21548950835766e-16
530.691,0.0062849684254064,2.20455763876596e-16
531.039,0.00617032443561971,2.19278819493685e-16
531.387,0.00605666187728907,2.18636213286716e-16
531.735,0.00594096803325426,2.17898400119764e-16
532.082,0.00583205168803669,2.17319879980981e-16
532.43,0.00571598026816382,2.16265877358134e-16
532.778,0.00560126771012939,2.15231139677994e-16
533.125,0.00549049814866191,2.14153783492701e-16
533.473,0.00537279548698605,2.12502207969233e-16
533.82,0.00525729685999447,2.10883773012929e-16
534.168,0.00514136991952403,2.09081431615758e-16
534.515,0.00502680622798613,2.07139150160326e-16
534.863,0.00491616339385837,2.05316096027492e-16
535.21,0.00480079515009766,2.02853782850984e-16
535.557,0.0046932593975443,2.0041970400752e-16
535.905,0.00457824527591888,1.97616416955277e-16
536.252,0.00447063947543752,1.95165255072582e-16
536.599,0.00435933679947832,1.92530736833215e-16
536.946,0.0042504199016203,1.89940420002169e-16
537.293,0.00414363314316449,1.87416318261364e-16
537.64,0.00403762852587944,1.84871951452265e-16
537.987,0.0039302313439929,1.82199666466659e-16
538.334,0.0038299242335361,1.79521988589539e-16
538.681,0.00372553081653818,1.76580070615225e-16
539.028,0.00361905786226673,1.73451038360825e-16
539.375,0.00351451241711631,1.70108602498048e-16
539.721,0.00341246429198501,1.66816328518037e-16
540.068,0.00331303102083109,2.01778613843587e-07
540.415,0.00321666329745125,1.20688722920484e-06
540.761,0.00311465153136022,2.16324947484127e-06
541.108,0.003013745393807,3.45102308271283e-06
541.454,0.00291313918950206,5.47376529948577e-06
541.801,0.00282062321419489,7.41361552306757e-06
542.147,0.00272267887948012,9.50823604919208e-06
542.494,0.00262693690547966,1.18589109799884e-05
542.84,0.00253050964732135,1.40457184816846e-05
543.186,0.00243942992760974,1.63211991570754e-05
543.532,0.00234920922584439,1.86124570835924e-05
543.879,0.00226754252704617,2.08096445494618e-05
544.225,0.00218032969791501,2.28753434866629e-05
544.571,0.00209750571156948,2.48490346541438e-05
544.917,0.00201845792878987,2.66810059791647e-05
545.263,0.00193672820729514,2.8955313969893e-05
545.609,0.00185546680753605,3.12029800108572e-05
545.955,0.00177931138166016,3.32910542469028e-05
546.3,0.00171104080531833,3.57035614973747e-05
546.646,0.00163922081181871,3.78657104682889e-05
546.992,0.00156965872719681,3.9819907444839e-05
547.338,0.00150025571774781,4.18822388652354e-05
547.683,0.00143408972697396,4.37391275807084e-05
548.029,0.00137049231704246,4.54431823236553e-05
548.374,0.00131169233420404,4.7468357820094e-05
548.72,0.00124924738330581,4.90602936082537e-05
549.065,0.00119085576386426,5.06707978790767e-05
549.411,0.00112809661270271,5.25519225565143e-05
549.756,0.00107233248486789,5.4350186915877e-05
550.101,0.00101752070818793,5.5973081276921e-05
550.447,0.000961260401241325,5.74752817490336e-05
550.792,0.000909090646746182,5.87784928323431e-05
551.137,0.000857795811596738,6.00605439822224e-05
551.482,0.000809609397591934,6.16189514229301e-05
551.827,0.000760614927062345,6.26341017184604e-05
552.172,0.00071662813382657,6.40067091611822e-05
552.517,0.000671416721636179,6.51621572561541e-05
552.862,0.000634558439365648,6.66179708590796e-05
553.207,0.000590248452758321,6.71099300768046e-05
553.552,0.000554539250540228,6.82265425726194e-05
553.897,0.00052099179903726,6.90905254009187e-05
554.241,0.000485429681203342,6.93545881217334e-05
554.586,0.00045658568775842,7.01405094475393e-05
554.931,0.000426601192022616,7.02339213533607e-05
555.275,0.000398957307080825,7.08349213749945e-05
555.62,0.000371698951761868,7.11195516928709e-05
555.964,0.000345816709931794,7.10766386940586e-05
556.309,0.000323062861566228,7.18812079092185e-05
556.653,0.000296984219457711,7.13673617320181e-05
556.998,0.000280975337174046,7.27279179719445e-05
557.342,0.000256804809639502,7.18245209431783e-05
557.686,0.000236391235125358,7.1203625724181e-05
558.03,0.000218671485952481,7.07534090539797e-05
558.375,0.000199804422848598,6.95236328519869e-05
558.719,0.000184317754942823,6.87670930101007e-05
559.063,0.000170593432414188,6.81329598754853e-05
559.407,0.000155669817874147,6.66335447598526e-05
559.751,0.000141497056490044,6.47649812699132e-05
560.095,0.000130644539533905,6.39108974066719e-05
560.438,0.000121581590717287,6.36811165052896e-05
560.782,0.000112919942057671,6.32060592375583e-05
561.126,0.000104892490772857,6.27310077571249e-05
561.47,9.61432060014157e-05,6.14815634794159e-05
561.813,8.82874933280236e-05,6.02399762113476e-05
562.157,8.51437610474799e-05,6.21083433274377e-05
562.501,8.23305487318536e-05,6.43420319071361e-05
562.844,7.98776630560511e-05,6.67475240683366e-05
563.188,7.99102298044701e-05,7.16115609400834e-05
563.531,8.16784734138587e-05,7.86280336718536e-05
563.875,8.3219653096602e-05,8.59241593122691e-05
564.218,8.2535350317065e-05,9.12072032286685e-05
564.561,8.40515371692161e-05,9.92096779529081e-05
564.904,8.68188341392832e-05,0.000109267312840081
565.248,8.94258854401832e-05,0.000119903733823946
565.591,9.53957456175041e-05,0.000136049366636349
565.934,0.000100932793425836,0.00015288448096348
566.277,0.000108433992484028,0.000174082931670135
566.62,0.000116192902344744,0.000197405542053425
566.963,0.000125247602491151,0.000224904101710187
567.306,0.000131679886953521,0.000250190716251946
567.649,0.00014101508086574,0.000283217019436396
567.991,0.000149929046558601,0.000317892464637374
568.334,0.000161539450707509,0.00036213792971526
568.677,0.000172703650849873,0.000408909255664253
569.02,0.000183597904532809,0.000458804147244091
569.362,0.000192792887787522,0.000510705375756163
569.705,0.000202871805058481,0.000569202347673157
570.047,0.00021449373309682,0.000637237962945851
570.39,0.000226532361712343,0.000715578645671961
570.732,0.000237187516701435,0.000795933479716901
571.074,0.00024759458217313,0.000881187129081614
571.417,0.000258981528740035,0.000973188027627389
571.759,0.000269233264789159,0.00106717195176087
572.101,0.000280505568001343,0.00117094525268514
572.443,0.00029177173727951,0.00127910846837536
572.786,0.000302573837110696,0.00139220054270409
573.128,0.000312041168385678,0.00150564735107598
573.47,0.000322878061064887,0.00163275446436949
573.812,0.000331597006276203,0.00175649510324126
574.154,0.000342410879451562,0.0018982543779887
574.496,0.000351482675502021,0.00203746938886039
574.837,0.000360799227990556,0.00218602622572342
575.179,0.000370991800218741,0.00234715895270952
575.521,0.000380467300099378,0.00251107510489464
575.863,0.000389075339170164,0.00267836073130217
576.204,0.000397277547892635,0.00285081364847403
576.546,0.000405589947445324,0.00303326883651749
576.887,0.000413274874796349,0.00322055082770427
