wavelength,GCaMP6f (In presence of Ca2+) em,GCaMP6f (In presence of Ca2+) ex
568,0.10689999908208847,
569,0.10159999877214432,
570,0.09570000320672989,
571,0.08900000154972076,
572,0.08410000056028366,
573,0.08009999990463257,
574,0.07599999755620956,
575,0.07190000265836716,
576,0.06800000369548798,
577,0.06419999897480011,
578,0.061000000685453415,
579,0.05770000070333481,
580,0.05429999902844429,
581,0.05130000039935112,
582,0.04879999905824661,
583,0.04670000076293945,
584,0.04479999840259552,
585,0.04280000180006027,
586,0.040800001472234726,
587,0.039000000804662704,
588,0.03720000013709068,
589,0.0357000008225441,
590,0.0340999998152256,
591,0.03229999914765358,
592,0.031199999153614044,
593,0.030500000342726707,
594,0.029100000858306885,
595,0.027499999850988388,
596,0.026399999856948853,
597,0.025200000032782555,
598,0.02410000003874302,
599,0.02290000021457672,
600,0.0215000007301569,
601,0.0203000009059906,
602,0.019500000402331352,
603,0.018699999898672104,
604,0.017999999225139618,
605,0.01720000058412552,
606,0.01640000008046627,
607,0.015399999916553497,
608,0.014399999752640724,
609,0.013700000010430813,
610,0.013100000098347664,
611,0.012500000186264515,
612,0.011900000274181366,
613,0.01119999960064888,
614,0.010099999606609344,
615,0.008700000122189522,
616,0.007400000002235174,
617,0.0066999997943639755,
618,0.006200000178068876,
619,0.005799999926239252,
620,0.005400000140070915,
621,0.0052999998442828655,
622,0.005100000184029341,
623,0.0044999998062849045,
624,0.004100000020116568,
625,0.004100000020116568,
626,0.003800000064074993,
627,0.0032999999821186066,
628,0.0026000000070780516,
629,0.0017000000225380063,
630,0.0012000000569969416,
631,0.0008999999845400453,
632,0.0008999999845400453,
633,0.0007999999797903001,
634,0.00039999998989515007,
635,0.00019999999494757503,
